(0, 259, 532, 281, 155, 27, 158, 426, 427, 177, 566, 320, 579, 452, 464, 468, 479, 95, 486, 247)->[0, (-1+1*r5), (3-1*r5), (-4+2*r5)]
(0, 516, 136, 524, 281, 542, 165, 560, 565, 442, 192, 193, 320, 590, 593, 468, 219, 232, 497, 247)->[(-3+1*r5), (-1+1*r5), (-4+2*r5), 0]
(0, 2, 5, 135, 522, 532, 277, 297, 560, 565, 183, 579, 79, 593, 467, 479, 223, 106, 247, 254)->[(4-2*r5), (3-1*r5), (-1+1*r5), 0]
(0, 267, 532, 277, 420, 560, 306, 182, 183, 442, 452, 590, 208, 464, 468, 474, 350, 351, 480, 115)->[0, (-1+1*r5), (3-1*r5), (4-2*r5)]
(513, 521, 395, 268, 17, 146, 148, 151, 28, 414, 167, 557, 313, 462, 213, 98, 101, 234, 113, 252)->[(-1+1*r5), (4-2*r5), (3-1*r5), 0]
(386, 150, 536, 280, 160, 294, 44, 305, 439, 314, 324, 197, 329, 460, 596, 597, 470, 485, 495, 119)->[0, (1-1*r5), (3-1*r5), (4-2*r5)]
(272, 532, 279, 25, 27, 427, 183, 57, 323, 452, 580, 79, 350, 479, 361, 106, 362, 494, 115, 248)->[(-4+2*r5), (3-1*r5), (-1+1*r5), 0]
(131, 5, 20, 277, 279, 420, 303, 183, 57, 570, 325, 589, 208, 210, 223, 106, 114, 115, 121, 378)->[0, (-4+2*r5), (-1+1*r5), (-3+1*r5)]
(263, 137, 152, 34, 166, 309, 58, 573, 575, 332, 461, 591, 81, 466, 84, 103, 107, 367, 117, 511)->[(-3+1*r5), (4-2*r5), 0, (-1+1*r5)]
(399, 16, 18, 276, 404, 282, 161, 162, 545, 551, 45, 437, 440, 91, 354, 359, 489, 235, 499, 122)->[(3-1*r5), 0, (1-1*r5), (4-2*r5)]
(130, 262, 136, 527, 278, 153, 283, 284, 542, 165, 430, 304, 569, 317, 584, 212, 477, 232, 490, 497)->[(-3+1*r5), (-1+1*r5), (4-2*r5), 0]
(129, 401, 409, 416, 33, 35, 164, 295, 436, 316, 319, 330, 331, 209, 83, 476, 358, 496, 377, 506)->[(-1+1*r5), (3-1*r5), 0, (-4+2*r5)]
(516, 5, 525, 277, 287, 428, 560, 306, 570, 590, 208, 593, 219, 352, 240, 114, 116, 123, 254, 255)->[(-3+1*r5), (3-1*r5), (3-1*r5), (-3+1*r5)]
(258, 263, 137, 523, 397, 398, 26, 550, 552, 429, 433, 179, 571, 315, 77, 591, 227, 367, 124, 511)->[0, (-3+1*r5), (4-2*r5), (-1+1*r5)]
(384, 258, 138, 13, 144, 413, 293, 550, 39, 429, 433, 571, 190, 326, 454, 585, 204, 214, 493, 502)->[0, (1-1*r5), (-3+1*r5), (-4+2*r5)]
(132, 11, 267, 141, 272, 21, 279, 408, 25, 419, 420, 445, 67, 325, 199, 589, 350, 351, 110, 115)->[(3-1*r5), (3-1*r5), (3-1*r5), (-3+1*r5)]
(514, 521, 402, 403, 148, 285, 414, 176, 313, 449, 194, 74, 458, 85, 487, 241, 370, 252, 505, 380)->[(3-1*r5), (-3+1*r5), (3-1*r5), (3-1*r5)]
(2, 135, 264, 522, 396, 19, 543, 37, 423, 297, 554, 435, 54, 586, 467, 344, 88, 348, 222, 508)->[(-3+1*r5), 0, (-1+1*r5), (-4+2*r5)]
(385, 394, 11, 525, 145, 291, 420, 428, 306, 55, 199, 588, 589, 208, 210, 474, 349, 351, 104, 114)->[0, (3-1*r5), (-4+2*r5), (1-1*r5)]
(133, 8, 139, 12, 403, 536, 288, 44, 314, 194, 582, 455, 329, 587, 470, 100, 241, 370, 372, 505)->[0, (1-1*r5), (3-1*r5), (-4+2*r5)]
(265, 394, 140, 525, 145, 31, 159, 546, 298, 428, 301, 561, 311, 595, 349, 352, 225, 357, 240, 116)->[(-3+1*r5), (-4+2*r5), 0, (1-1*r5)]
(386, 131, 20, 410, 160, 418, 303, 305, 450, 196, 76, 339, 597, 216, 485, 102, 108, 121, 378, 383)->[0, (4-2*r5), (-1+1*r5), (-3+1*r5)]
(257, 7, 143, 274, 286, 424, 43, 180, 60, 318, 191, 65, 195, 218, 94, 355, 109, 125, 253, 126)->[(-3+1*r5), 0, (1-1*r5), (-4+2*r5)]
(534, 156, 30, 421, 549, 169, 45, 431, 440, 321, 456, 215, 92, 359, 235, 369, 381, 122, 509, 510)->[0, (-4+2*r5), (1-1*r5), (-3+1*r5)]
(390, 520, 147, 415, 170, 556, 178, 308, 186, 188, 322, 198, 328, 206, 80, 338, 220, 111, 112, 127)->[(3-1*r5), (4-2*r5), 0, (1-1*r5)]
(393, 23, 537, 32, 425, 53, 60, 195, 327, 459, 336, 598, 218, 475, 231, 109, 238, 498, 507, 253)->[0, (-4+2*r5), (1-1*r5), (3-1*r5)]
(8, 139, 271, 149, 280, 544, 422, 296, 173, 564, 568, 314, 324, 582, 71, 329, 460, 341, 99, 251)->[(-3+1*r5), (1-1*r5), (-4+2*r5), 0]
(128, 389, 392, 140, 31, 421, 169, 583, 456, 595, 471, 472, 225, 357, 488, 243, 374, 503, 509, 510)->[(4-2*r5), 0, (-3+1*r5), (1-1*r5)]
(516, 262, 14, 527, 284, 29, 542, 159, 298, 559, 311, 184, 61, 62, 193, 219, 352, 240, 497, 123)->[(1-1*r5), (3-1*r5), 0, (4-2*r5)]
(260, 134, 10, 271, 275, 150, 280, 411, 422, 173, 50, 443, 189, 460, 596, 93, 356, 501, 119, 504)->[(4-2*r5), (1-1*r5), 0, (-3+1*r5)]
(8, 535, 536, 160, 288, 544, 37, 423, 172, 54, 568, 196, 324, 455, 329, 597, 348, 222, 108, 383)->[(4-2*r5), (-3+1*r5), (-1+1*r5), 0]
(134, 142, 271, 275, 405, 407, 422, 296, 564, 574, 70, 71, 337, 465, 87, 89, 483, 364, 244, 501)->[(1-1*r5), (-3+1*r5), 0, (4-2*r5)]
(526, 15, 273, 531, 404, 415, 545, 162, 170, 438, 441, 447, 322, 578, 198, 200, 206, 91, 233, 489)->[(-1+1*r5), 0, (4-2*r5), (-3+1*r5)]
