(0, 10, 11, 15, 17, 22, 24, 26, 30, 32, 39, 41, 44, 49, 51, 55, 57, 64, 71, 73, 79, 87, 88, 92)->[0, 4, 4, 0]
(0, 67, 73, 75, 14, 15, 16, 20, 87, 55, 94, 30)->[0, 0, 4, -4]
(0, 1, 5, 8, 13, 14, 16, 19, 25, 30, 36, 37, 51, 61, 66, 67, 68, 69, 78, 86, 88, 90, 91, 94)->[4, 0, 0, -4]
(0, 32, 65, 67, 68, 90, 19, 51, 21, 22, 87, 26)->[0, 4, 0, -4]
(3, 4, 5, 7, 12, 27, 29, 34, 38, 40, 43, 46, 47, 53, 54, 59, 60, 61, 66, 76, 82, 83, 86, 89)->[0, -4, -4, 0]
(1, 6, 11, 13, 14, 15, 20, 27, 35, 38, 43, 47, 52, 55, 63, 71, 72, 75, 77, 80, 84, 93, 94, 95)->[0, -4, 4, 0]
(7, 8, 9, 12, 18, 21, 24, 26, 28, 29, 31, 32, 44, 46, 48, 50, 56, 58, 62, 65, 68, 69, 74, 90)->[0, 4, -4, 0]
(16, 19, 20, 21, 22, 23, 31, 34, 35, 37, 42, 45, 49, 65, 67, 70, 72, 73, 74, 75, 76, 83, 87, 89)->[-4, 0, 0, -4]
(2, 3, 9, 10, 23, 28, 33, 39, 40, 41, 42, 45, 50, 52, 53, 58, 60, 63, 70, 81, 84, 85, 92, 93)->[-4, 0, 0, 4]
(2, 4, 6, 17, 18, 25, 33, 36, 48, 54, 56, 57, 59, 62, 64, 77, 78, 79, 80, 81, 82, 85, 91, 95)->[4, 0, 0, 4]
(34, 35, 3, 72, 42, 43, 45, 52, 53, 89, 27, 63)->[-4, -4, 0, 0]
(65, 66, 5, 37, 8, 74, 12, 76, 19, 83, 90, 29)->[0, 0, -4, -4]
(32, 70, 39, 9, 10, 49, 50, 21, 22, 23, 24, 31)->[-4, 4, 0, 0]
(64, 68, 69, 44, 78, 79, 51, 56, 25, 26, 88, 62)->[4, 4, 0, 0]
(33, 71, 41, 11, 77, 80, 17, 81, 84, 57, 92, 93)->[0, 0, 4, 4]
(2, 7, 40, 46, 60, 48, 18, 82, 85, 58, 59, 28)->[0, 0, -4, 4]
(1, 4, 36, 6, 38, 13, 47, 54, 86, 91, 61, 95)->[4, -4, 0, 0]
(34, 70, 42, 74, 76, 46, 50, 53, 58, 60, 29, 31)->[-4, 0, -4, 0]
(2, 3, 38, 6, 40, 43, 77, 81, 52, 84, 54, 59)->[0, -4, 0, 4]
(35, 5, 37, 13, 14, 47, 16, 83, 20, 89, 27, 61)->[0, -4, 0, -4]
(66, 4, 69, 7, 8, 12, 18, 82, 86, 25, 91, 62)->[4, 0, -4, 0]
(39, 72, 73, 11, 75, 45, 15, 49, 23, 92, 93, 63)->[-4, 0, 4, 0]
(1, 36, 71, 78, 79, 80, 17, 55, 88, 94, 30, 95)->[4, 0, 4, 0]
(64, 33, 9, 10, 41, 44, 48, 85, 24, 57, 56, 28)->[0, 4, 0, 4]
